Column_1,nd,tsd
350,46321,47925
351,48733,50316
352,49637,51300
353,49421,50724
354,50194,51375
355,50579,51758
356,50507,51683
357,50527,51702
358,50566,51741
359,50602,51778
360,50610,51785
361,50338,51512
362,50296,51468
363,49983,51154
364,50084,51353
365,49882,51119
366,49960,50564
367,50952,51560
368,53229,53843
369,56289,56898
370,57175,57800
371,56862,57500
372,56161,56773
373,55275,55887
374,53878,54504
375,52495,53312
376,51438,52220
377,49648,50432
378,47828,49274
379,45407,46983
380,43232,45072
381,41084,43259
382,38639,42186
383,37305,41301
384,37773,41418
385,37718,41371
386,37692,41414
387,37130,41061
388,36816,40848
389,37061,41067
390,36587,40854
391,35878,40220
392,35275,39578
393,35119,39347
394,35343,39447
395,36115,40138
396,38758,42113
397,42004,44549
398,46039,48061
399,48731,50711
400,49722,51720
401,49695,51758
402,50762,52814
403,51083,53176
404,51323,53395
405,51361,53446
406,51470,53463
407,51359,53283
408,51304,53269
409,50901,52905
410,50555,52595
411,50160,52075
412,49990,51856
413,49725,51630
414,49505,50121
415,50211,50814
416,52022,52636
417,55397,56022
418,56662,57312
419,56125,56764
420,55376,55987
421,54286,54949
422,52900,53903
423,51345,52746
424,49533,51246
425,47869,49582
426,46390,48717
427,44255,46608
428,42506,44998
429,41184,43688
430,39127,41796
431,38144,41395
432,38618,41719
433,38189,41117
434,37596,40767
435,36584,39898
436,36292,39664
437,36354,39628
438,35985,39474
439,35238,38849
440,34558,38117
441,34091,37583
442,33777,36933
443,33674,36785
444,34482,37572
445,35082,37583
446,35794,36915
447,36585,37699
448,38088,39201
449,40554,41665
450,43028,44138
451,44570,45587
452,45756,46664
453,46185,46947
454,46372,47147
455,46466,47312
456,46624,47531
457,46351,47306
458,46070,46970
459,45934,46728
460,45871,46627
461,45564,46320
462,45651,46251
463,46192,46800
464,47583,48200
465,50435,51051
466,51930,52574
467,51947,52718
468,50831,51589
469,49828,50524
470,48781,49590
471,47263,48112
472,45950,46887
473,44330,45506
474,42901,44324
475,41411,42832
476,39825,41251
477,38769,40197
478,37144,38733
479,36253,37840
480,36968,38557
481,36466,38047
482,35834,37529
483,34905,36942
484,34327,36307
485,34358,36347
486,33756,36620
487,32947,36026
488,32103,35283
489,31594,34680
490,31305,34300
491,31156,34135
492,31455,34417
493,31481,34435
494,31428,33998
495,31307,33779
496,32441,34463
497,34181,35777
498,36320,37217
499,38247,39142
500,40138,41057
501,41430,42468
502,42428,43503
503,43104,44189
504,43791,44877
505,44012,45115
506,43636,44781
507,43468,44570
508,43291,44372
509,43167,44197
510,43204,43828
511,44169,44792
512,46413,47035
513,48446,49075
514,49437,50127
515,48949,49708
516,48511,49300
517,47430,48144
518,46551,47627
519,45309,46607
520,44097,45444
521,43026,44418
522,41572,42969
523,39733,41129
524,38046,39442
525,36289,37839
526,34204,37083
527,33036,36395
528,33741,37042
529,33730,37028
530,33438,36729
531,32867,36158
532,32655,35934
533,32783,36055
534,32310,35811
535,31592,35119
536,31041,34558
537,30801,34294
538,31129,34424
539,32196,35444
540,35498,38525
541,38920,41623
542,43220,45046
543,45959,47780
544,47167,48619
545,47026,48411
546,47928,49180
547,48516,49768
548,48675,49927
549,48948,50200
550,49243,50497
551,49445,50721
552,49789,51094
553,49682,50999
554,49615,50938
555,49553,50804
556,49636,50887
557,49404,50586
558,49271,49901
559,50425,51058
560,52383,53016
561,54476,55112
562,55489,56123
563,54537,55168
564,53503,54136
565,52561,53196
566,51292,52527
567,50000,51764
568,48167,49976
569,46551,48361
570,44910,46739
571,42592,44374
572,40660,42433
573,38640,40469
574,36365,39493
575,35029,38985
576,35658,39274
577,35508,39312
578,35324,39427
579,34705,38915
580,34451,38262
581,34480,38285
582,33778,37668
583,33037,36935
584,32425,36720
585,32236,36464
586,32530,36040
587,33509,37028
588,36600,39908
589,39927,42479
590,44015,45726
591,46440,48284
592,47021,48978
593,46698,48540
594,47468,49193
595,47790,49548
596,47888,49650
597,48046,49808
598,48014,49747
599,47231,
600,46866,
601,46442,
602,45950,
603,45541,
604,45417,
605,45916,
606,47356,
607,49364,
608,51245,
609,52235,
610,52167,
611,51409,
612,50331,
613,49038,
614,47512,
615,45918,
616,44150,
617,42037,
618,39646,
619,37769,
620,37026,
621,36751,
622,36568,
623,36423,
624,36315,
625,36226,
626,36080,
627,35852,
628,35599,
629,35356,
630,35096,
631,34798,
632,34499,
633,34253,
634,34115,
635,34133,
636,34339,
637,34799,
638,35754,
639,37364,
640,39643,
641,42159,
642,44029,
643,44940,
644,45156,
645,45179,
646,45161,
647,45094,
648,45013,
649,44975,
650,45116,
651,45597,
652,46527,
653,47800,
654,49009,
655,49942,
656,50346,
657,50120,
658,49386,
659,48264,
660,46773,
661,45145,
662,43338,
663,41345,
664,39370,
665,37834,
666,37092,
667,36725,
668,36540,
669,36321,
670,36057,
671,35741,
672,35378,
673,34987,
674,34606,
675,34286,
676,34090,
677,34079,
678,34360,
679,36299,
680,40030,
681,43647,
682,46638,
683,48349,
684,49290,
685,49812,
686,50046,
687,50004,
688,49827,
689,49610,
690,49344,
691,49058,
692,48775,
693,48540,
694,48483,
695,48715,
696,49310,
697,50361,
698,51879,
